Media Name;Date;Article Tittle;Article Media;Precise Quote;Link Article
;;;While we all questioned whether wearing a belt over a shirt was a valid fashion decision, Kaia Gerber has shown us yet again how to make it look tasteful and expensive. And she didn’t stop there. She paired her chunky studded belt with an off-the-shoulder, long-sleeve tunic with finger holes—resurrecting two Y2K trends we buried a long time ago.;;
;;;Low-waisted pants have been a huge trend recently, so long shirts were also overdue for a comeback. And with the belt worn over her shirt, Kaia’s look is very Y2K-coded. Although the model usually wears ’90s-inspired staples, she managed to make these risky 2000s trends look chic. And her Olivia Rodrigo concert outfit has managed to make us seriously nostalgic for noughties fashion (in a good way). Kaia’s eclipse-viewing outfit is a classic example of her classic style. Her kitten heels, midi skirt, and long sleeve crop top could’ve very well walked out of a 90s romcom. Leave it to her to look so effortlessly stylish while wearing eclipse glasses.;Low-waisted pants have been a huge trend recently, so long shirts were also overdue for a comeback. And with the belt worn over her shirt, Kaia’s look is very Y2K-coded. Although the model usually wears ’90s-inspired staples, she managed to make these risky 2000s trends look chic. And her Olivia Rodrigo concert outfit has managed to make us seriously nostalgic for noughties fashion (in a good way). Kaia’s eclipse-viewing outfit is a classic example of her classic style. Her kitten heels, midi skirt, and long sleeve crop top could’ve very well walked out of a 90s romcom. Leave it to her to look so effortlessly stylish while wearing eclipse glasses.;
;;;Our versatile queen. Court-side at a Lakers game, Kaia is serving sporty yet preppy. She wore a leather blazer, a graphic tee, black pants, and Nike Air Maxes. Only she could pull off wearing a blazer with sneakers. While this might not be what most basketball fans would wear to a game, she still managed to look amazing.;;
New York Times;25 Oktober 2025;"Y2K Kids Were the Last to Really Rage With No One Watching
The angst of nu metal is being discovered by Gen Z, but with digital eyes always looming, the ephemeral catharsis of collectively going mad is a thing of the past.";"When I stumbled out of my first concert in the spring of 1998, I couldn’t even hold up my head. My 17-year-old ears were buzzing and a trickle of blood ran down the side of my neck from a hoop earring that had been ripped out in the mosh pit where I had left every last scrap of my adolescent rage. Just months after the release of their defining album “Around the Fur,” I was already infatuated with the California nu metal band Deftones.

My mother picked me up from the Louisville brewery where they’d performed, two hours from the Kentucky town where I grew up. She was understandably shocked at the sight of me — and let me know it — but I couldn’t hear a word she said as we drove off.";;https://www.nytimes.com/2025/10/25/arts/music/korn-nu-metal-rock-y2k.html
;;;As a fan of many nu metal, alt metal and industrial bands that reigned at the time — particularly Korn, Deftones, Nine Inch Nails, Tool and Rage Against the Machine — I’d go on to reclaim that sensation over the next few years. I felt baptized in the highly emotional music that candidly examined themes of misery, loss and alienation, feelings expressed in urgent vocals, guttural sounds, screams and growls.;;
;;;"It’s easy to forget how popular this sound was. Freaks ruled, and not just figuratively. Korn were bona fide rock stars: “Follow the Leader,” their third album, debuted at No. 1 on the U.S. Billboard 200 in 1998, selling about 270,000 copies in its opening week; “Issues,” in 1999, also debuted at No. 1, selling nearly 575,000 copies in its first week and keeping both Dr. Dre and Celine Dion out of the top spot. As of 2021, the band had sold more than 40 million albums globally.";;
;;;"But I’m not trying to nostalgia farm and wax poetic, I swear. Nor am I here to defend, dissect or take down the toxic dynamics inherent to the nu metal scene. The lyrics were often obscene and nihilistic, and the energy frequently tipped toward anarchy. As a young woman enmeshed in the dude-heavy environment, you don’t need to tell me. We can also probably agree that most Y2K pop culture touchstones had a very dark side.

This instead is an ode to a realization that those of us who came of age in that moment were the last wave of disaffected youth to have something we didn’t even know we had, something we were all about to lose: the ability to express ourselves freely in public without the ever-looming specter of perpetual surveillance, digital documentation and social-media receipts. When we raged, we never considered that we were being watched, because we weren’t.";"But I’m not trying to nostalgia farm and wax poetic, I swear. Nor am I here to defend, dissect or take down the toxic dynamics inherent to the nu metal scene. The lyrics were often obscene and nihilistic, and the energy frequently tipped toward anarchy. As a young woman enmeshed in the dude-heavy environment, you don’t need to tell me. We can also probably agree that most Y2K pop culture touchstones had a very dark side.

This instead is an ode to a realization that those of us who came of age in that moment were the last wave of disaffected youth to have something we didn’t even know we had, something we were all about to lose: the ability to express ourselves freely in public without the ever-looming specter of perpetual surveillance, digital documentation and social-media receipts. When we raged, we never considered that we were being watched, because we weren’t.";
;;;We were there for the moment. We went all out. We were cringe. We were free, even when it was ugly. There were no screens to break, only lit cigarettes to dodge. These days, loneliness and isolation are epidemics, in no small part because of technology. We regularly mourn our shift away from what’s “real.” Usually this thinking is applied to the feel-good aspects of the good ol’ days: family dinners, going to movie theaters, simply hanging out in person.;;
;;;"But I can’t help but remember when rage was a collective act, when cavernous internal loneliness wasn’t a reason to disengage from the world physically. At their best, these shows were a channel for camaraderie through rebellion, a place to exorcise real-world dismay through art and metaphor.

It’s an outlet that prior generations also enjoyed, whether in the hardcore punk and metal scenes of the 1970s and 1980s, or the hip-hop and grunge scenes of the 1990s, before winding down shortly after nu metal’s heyday and the rise of photo-forward social media, particularly Myspace in 2003.";;
;;;"In Korn’s hit “Blind,” off the group’s self-titled debut album in 1994, the lead singer Jonathan Davis feverishly repeats: “I can see, I can see I’m going blind.” The lyric conveys the awareness of an inflection point and of an impending loss; the desperation of straddling two states of being; of having something critical and having little say as it slips away.

Today, we’re steeped in rage, which always finds a release. But like many once-shared experiences, it has often become a private act demonstrated primarily from behind a keyboard, whether in texts between individuals or public comments posted online.";;
;;;When rage does emerge en masse now, it’s almost always through a political lens. And it comes with the acceptance that your face and identity may be captured, and even used against you. That stands in great contrast to a time when adolescent rage could be a fitful state of confusion without a clear point of view or a digital shadow.;;
;;;Nu metal fell out of the mainstream relatively quickly (with Woodstock 99 hastening its collapse), then rock music started disappearing from the charts altogether. But with Gen Z’s interest in the “before times” swelling, a revival is afoot. It’s evident in fashion trends including oversize JNCO-type jeans, and in the demand for tangible media like vinyl records and CDs. Korn headlined Lollapalooza in August, sharing top billing with Olivia Rodrigo.;;
;;;"Korn filled stadiums on tour with System of a Down this summer. And it was announced this week that these two bands, along with Deftones, will serve as headliners for next year’s Sick New World festival celebrating the music of that era at two huge shows in Las Vegas and Texas. You don’t need Billie Eilish wearing a Korn shirt onstage to signal a nu metal renaissance, but it doesn’t hurt.

Just see Lola Young’s video for “Conceited” — a Y2K-era vision, complete with electric guitar riffs and a headbanging scene with not an iPhone in sight. It suggests a sort of dreamscape: Gen Zers surrounded by darkness, eyes closed, present in their bodies in a crowd pulsating with human emotion, no one reaching for their digital escape pod.";;
;;;"Of course, some artists have started banning phones in their crowds in recent years. Often this is for copyright reasons or to stem low-quality recordings from proliferating, but other times it’s to foster what once was. “I want people to live in the moment, and it’s funny that the easiest way to rebel is to tell people to turn off their phone,” the rock star Jack White said in 2018. “If your phone is that important to you that you can’t live without it for two hours then, I don’t know, maybe it’s time to see a therapist.”

It would indeed take a psychological reboot to restore that type of liberation, even if all security cameras are toggled off and all phones are left at the door. The itch of the digital phantom limb is now hard-wired.";;
;;;"It’s a reality we didn’t outright opt into, but one we can’t easily opt out of.

Videos of System of a Down playing its 2001 hit “Chop Suey!” live in 2002 at the Rock im Park festival in Germany have millions of views on YouTube. When the music drops, the sea of concertgoers erupts in emotion and undulates with movement, fists up, not one gripping a phone.";;
;;;"Stadium in New Jersey reveal tens of thousands of fists up, but now they create a sea of lit rectangles. And the bodies? Standing predicably still so as not to jostle the recordings.

A correction was made on Oct. 28, 2025: An earlier version of this article misstated the chronology of Korn’s albums. “Follow the Leader” was the band’s third album, not its sophomore album.
";;
Screen Rent;7 April 2025;Who's The Biggest Pop Princess In Today's Music World? Here Are The 8 Best Candidates;"The term ""pop princess"" encapsulates fresh, teen-driven contemporary pop music. Past crown holders have included Britney Spears, Taylor Swift, Lady Gaga, and Rihanna. While, historically, the term has referred to essentially only US-based artists, in the current music industry, there are many contenders across the globe.

While no one has better embodied the term since Britney Spears’ run in the Y2K era, there are many young ladies in the pop scene today that could surpass the icon. The pandemic and global lockdown forced the music industry to pivot. Online streaming, music video consumption on YouTube, and the surge in social media interactivity permitted new artists to rise to the top ranks of the pop music world.";;https://screenrant.com/modern-pop-princess-list/
;;;To be a pop princess in today’s landscape, you must have global appeal and present prowess both domestically and internationally. Some of the artists discussed are veterans of their homeland, but have only recently found international fame, while others have seen a meteoric rise upon their first outing. All of them hold global appeal with room for growth, despite being big award winners and achieving record-breaking sales.;;
;;;"Olivia Rodrigo
The Whirlwind Commercial Success In The US
Olivia Rodrigo has been immersed in a music career that seems to outdo itself with every new release. With early beginnings on Disney Channel in shows such as Bizaardvark and Disney+'s High School Musical: The Musical: The Series, Rodrigo hasn’t exactly followed the typical Disney starlet blueprint. She left Disney in 2019 and signed with Geffen Records to better focus on her solo career.

With her debut single “driver’s license,” she broke Spotify’s record for most daily streams (for a non-holiday song) twice, reaching 17 million global streams. She would go on to end her monumental first year as a solo artist with Billboard confirming she was the bestselling singles artist worldwide – on top of winning three Grammys.";;
;;;Rodrigo embodies a spirit-of-change by simultaneously being pop-culture centric and advocating for others, despite having only two solo albums in her catalog. The musical direction Rodrigo has adapted, a pop-rock-focused femininity, has allowed her to be relatable to her predominantly teenage audience. Her strong voice and humble lyrical perspectives are her special sauce, fostering excitement for the future of her career.;;
Fashion Ista;14 Maret 2024;"
Olivia Rodrigo Fans Went All Out in DIY Outfits for the 'Guts' Tour in Nashville
Many attendees eschewed fast fashion for repurposed looks, taking note from the vintage-loving singer.";"On the corner of Sixth and Broadway in Nashville, Tenn., a purple feather catches in the post-rain wind. Its downy underside hovers and plummets, a violet flash lost to the bustling estuary of aural crossfire that becomes Bridgestone Arena on Saturday night. To the left, Music City's famed promenade of neon honky-tonks rattles with whooping bachelors and Pat Benatar covers. To the right, there's a snaking catwalk of several thousand teens adjusting butterfly clips and marabou boas, their phone cameras flipped frontward for a final face-gem inspection before snapping selfies in front of Olivia Rodrigo's ""Guts"" World Tour bus. ";;https://fashionista.com/2024/03/olivia-rodrigo-fans-concert-style-outfits-guts-nashville
;;;"Beneath a sea of chunky platforms, the stray fronds of loose plumage are stomped and forgotten. But for the modern concertgoer, the resurgence of attire-signaling is here to stay.

""This is what I wish I could be every day,"" Adriana Montalbo, 25, tells Fashionista, gesturing to her rhinestoned fishnets and matching fingerless gloves. 

Montalbo's crocheted top — ""a children's shirt"" she specifies, laughing — is hand-cropped. Her cheeks are flecked with purple glitter that matches that of her college best friend, Edwin Arce, 25, who flew in from Puerto Rico for their first reunion in two years.";;
;;;"""I don't normally put this much effort into my everyday outfit,"" she admits. ""That's why I love concerts, because you can go all out and it doesn't matter.""";;
;;;"From Taylor Swift to Beyoncé, ""all out"" is an apt description of the costumed craze that's descended upon concert venues post-pandemic.

Though music's influence on the way we dress is certainly far from new, platforms like Instagram and TikTok provide an accessible means of sharing outfit vision boards and Get Ready With Me (GRWM) clips, where fans can connect, bookmark inspiration for their own ensembles and, if particularly lucky, even catch the approval of their favorite artist. In the age of rapid trend cycles and overnight Amazon orders, though, going ""all out"" for a single event can invite the same wasteful ephemerality of prom or Halloween, with peeling pleather and metallic fringe left to tangle on thrift store racks crammed with off-season Shein. ";;
;;;"It's refreshing, then, to see swathes of Zoomers and Gen Alpha taking note from self-proclaimed vintage enthusiast Rodrigo and excitedly showing off DIY'ed accessories and repurposed garments while waiting in a crowded queue.

";;
;;;"London Fluegel, 14, sports her first embroidery endeavor to the show: a lyrical nod to Rodrigo's song, ""Pretty Isn't Pretty,"" stitched with purple thread. 

""I did some practice, but not much, because I like to go straight into things,"" she explains. ""My mom does a bit of sewing, so she helped, but I did most of it. My mom just tied them off because I'm extremely bad at tying knots.""

Fluegel is accompanied by her friends Karin Arnett and Cora Riggs, also 14 (all pictured at top of article). They push back their hair to show me custom earrings Riggs fashioned from clay, reminiscent of the Lisa Frank-inspired motifs featured throughout Rodrigo's album visuals. Their sunglasses are hot-glued with letter beads, and their wrists bear song-title friendship bracelets to match, personalized keepsakes from a craft party held the night before. ";;
;;;"""We had really specific ideas of things we wanted to make, and they're not all things you can buy,"" says Riggs. ""The three of us all love making crafts, so we thought it'd be really fun to do some stuff ourselves, so that we could add those details.""";;
;;;"From maxi skirts belted into dresses to safety-pinned ribbons (a reference both to the song ""Lacy"" and a current trend so easily-managed, it has outlived the thinkpieces damning coquette's saturation), many outfits rely on resourceful customization rather than wasteful fast-fashion shopping.";;
;;;"Allie Clouse, 25 — who wears bedazzled cowboy boots recycled from a Taylor Swift costume — cites indecision (she's a Libra) amid trend cycles as a major factor in her consumption choices. Most of her ensemble is from Nuuly, a subscription-based clothing rental service.

""I feel that it's more of a sustainable fashion cycle than fast fashion, and it's great for events,"" she argues. Next up on Clouse's outfit-planning calendar? The tour for tonight's opener, Chappell Roan, whose meteoric rise has been accompanied by costume themes on each night of her tour. ""I'm gonna up my game because I saw some middle-schoolers who were dressed way cooler than me,"" she remarks as she scans the crowds of adorned fans. 

Keep scrolling to see some of the best outfits Livies wore to the singer's Nashville, Tenn. show.

";;
Medium;14 Desember 2024;Y2K Nostalgia: Why 2000s Trends are Making a Comeback;"The 2000s left an impactful mark on technology and culture that continues to influence us today. This era — filled with velour tracksuits, flip phones, and pop-punk anthems — is making a comeback with a modern flair. But why are these Y2K trends making such a bold return?

While past trends are known for cycling back into the mainstream, technology has significantly impacted how quickly they come and go. Plus, the trials we face today have us yearning for times when life felt simpler and safer.

This accelerated return is not just a coincidence and can be directly linked to the unique circumstances of recent years. A shift in how we consume media and a collective desire for comfort and familiarity have brought these trends back into the spotlight. The resurgence of fashion, music, and technology trends from the 2000s can be attributed to the COVID-19 pandemic, movies and television shows on streaming services, and influencers on social media.";;https://medium.com/fall-2024-icm506-writing-for-interactive-media/y2k-nostalgia-why-2000s-trends-are-making-a-comeback-a9c08232c21a
;;;"The Whys Behind This Y2K Revival
Fashion and cultural trends have long followed a 20-year cycle. This theory was first proposed in the 1930s by English museum curator James Laver. Laver’s Law predicts when trends will start to become acceptable again–after about 20 years. So while the 2020s are influenced by the 2000s, the 2000s had influences from the 1980s and the 1960s, as the trends roll back around every 20 years. The fashion industry relies on this theory to dictate what’s in and what’s out, and predict what they should sell.

So, it was inevitable that 2000s trends would return in the 2020s. But certain forces have made this return feel especially rapid, and it seems that we may already be moving on in some ways.";;
;;;"Cycle Accelerator 1: The COVID-19 Pandemic
The COVID-19 pandemic played a significant role in accelerating the return of 2000s trends, as many people sought comfort in nostalgia during a time of uncertainty and isolation. With in-person social interaction on hold, individuals retreated to old hobbies and comforting childhood memories. This cultural revival was driven not only by a desire for familiarity but also by the digital age’s ability to instantly bring trends back to life, making them more accessible and relatable to younger generations who never got the chance to experience them firsthand. As a result, the 2000s aesthetic became a symbol of comfort, escapism, and self-expression amid the chaos of the pandemic.";"Cycle Accelerator 1: The COVID-19 Pandemic
The COVID-19 pandemic played a significant role in accelerating the return of 2000s trends, as many people sought comfort in nostalgia during a time of uncertainty and isolation. With in-person social interaction on hold, individuals retreated to old hobbies and comforting childhood memories. This cultural revival was driven not only by a desire for familiarity but also by the digital age’s ability to instantly bring trends back to life, making them more accessible and relatable to younger generations who never got the chance to experience them firsthand. As a result, the 2000s aesthetic became a symbol of comfort, escapism, and self-expression amid the chaos of the pandemic.";
;;;"Cycle Accelerator 2: Streaming Services and Reboots
Streaming services have made it ridiculously easy to binge-watch classic movies and TV shows from the 2000s. These beloved shows are fueling nostalgia for the generation that grew up with them and are being introduced to the younger generations who are embracing them with full force. Series like The O.C. and One Tree Hill and movies such as Mean Girls and 13 Going on 30 have reignited interest in the fashion, slang, and pop culture of the time. These shows and films are more than just entertainment; they serve as time capsules that transport viewers back to an era defined by its distinct fashion, technology, and attitudes.

In addition to this, reboots and sequels have also brought nostalgia and introduced 2000s themes to a new generation. Studios have seen the popularity of certain shows and films rise again, prompting them to bring them back with a modern twist. Examples of already-released or upcoming reboots include Gossip Girl, Gilmore Girls, and The Princess Diaries. As these iconic movies and shows regain popularity, their influence is undeniable.";"Cycle Accelerator 2: Streaming Services and Reboots
Streaming services have made it ridiculously easy to binge-watch classic movies and TV shows from the 2000s. These beloved shows are fueling nostalgia for the generation that grew up with them and are being introduced to the younger generations who are embracing them with full force. Series like The O.C. and One Tree Hill and movies such as Mean Girls and 13 Going on 30 have reignited interest in the fashion, slang, and pop culture of the time. These shows and films are more than just entertainment; they serve as time capsules that transport viewers back to an era defined by its distinct fashion, technology, and attitudes.

In addition to this, reboots and sequels have also brought nostalgia and introduced 2000s themes to a new generation. Studios have seen the popularity of certain shows and films rise again, prompting them to bring them back with a modern twist. Examples of already-released or upcoming reboots include Gossip Girl, Gilmore Girls, and The Princess Diaries. As these iconic movies and shows regain popularity, their influence is undeniable.";
;;;"Cycle Accelerator 3: Social Media and Influencers
Social media is probably the most affluent driving force behind the rapid resurgence of 2000s trends. TikTok has especially made an impact as a platform with viral challenges, sounds, and fashion aesthetics inspired by the early 2000s. Users often recreate iconic fashion looks and use throwback songs in their content, allowing generations to relive or be introduced to iconic trends from the Y2K era.

Influencers and celebrities also have the power to be trendsetters. Celebrities like Hailey Bieber, Bella Hadid, and Kendall Jenner have embraced 2000s fashion, making it cool again. Social media influencers followed in these celebrities’ footsteps, which then brought it to the public. This proves the power of the modern-day influencer on our society.";;
;;;"What Y2K Trends Are Back?
Now that we understand the context behind why 2000s trends are making a comeback, we can explore what is specifically trending and their influences.";;
;;;"Fashion
The revival of 2000s fashion is impossible to miss, with iconic staples reemerging in everyday wardrobes. But people are taking these trends and putting their own modern twist on them, depending on their personal style.

Low-rise jeans, a once controversial trend, have made a return. People have realized that different styles look better on different body types and are glad that low-rise options are more readily available today. Accessories have also seen a Y2K resurgence. Platform shoes, trucker hats, and small shoulder bags are making their way into the mainstream again.

Many of these fashion trends can be attributed to the rewatching and rebooting of movies and television shows, as explained earlier. These pieces of media showcase these trends and reinforce their appeal to a younger audience. For example, Marissa Cooper (played by Mischa Barton) from the show The O.C. is often seen wearing low-rise jeans, cropped graphic tees, and halter tops.";;
;;;"Celebrities also have a major influence on these fashion trends. Bella Hadid is credited with “the great UGG renaissance,” as she was spotted wearing platform UGG boots. Paparazzi photos spread like wildfire and the shoes immediately sold out.

Thrifting and secondhand shopping have been on the rise as people are becoming more environmentally and economically conscious. People experience a thrill when they find a unique item or something they used to wear when they were younger that brings back memories. They take these vintage pieces and incorporate them into their style in a more modern way.
";;
;;;"Music
The resurgence of 2000s music trends has been one of the most vibrant aspects of the Y2K revival. TikTok and artists like Olivia Rodrigo have had major influences on this revival.";;
;;;"On TikTok, people have been rediscovering old songs and using them as background music in their videos. Creators also choreograph dances to these songs that may end up going viral. An example of a song that started trending again is Aly & AJ’s “Potential Breakup Song.” After this song went viral on TikTok, the sister duo got back together and re-recorded an explicit version.

Olivia Rodrigo is one of the most prominent young artists today who is at the forefront of reviving the 2000s pop-punk and emo sound. Her music, particularly hits like “good 4 u” and “brutal,” channels the angst and energy of the early 2000s with a fresh and modern perspective. The “good 4 u” music video also references iconic 2000s films including Jennifer’s Body and The Princess Diaries. Rodrigo has openly cited inspiration from artists like Hayley Williams (Paramore) and Avril Lavigne, bringing the genre into the modern age for a new generation of fans.";;
;;;"Technology
At the time, 2000s technology seemed so novel and futuristic, it’s crazy to think how much things have changed since then. But now, devices such as flip phones and digital cameras are making a modern comeback with younger generations. These devices were once seen as peak technology and are now being utilized for their simplicity and charm.

Flip phones are making a surprising return, as many people find themselves so addicted to their smartphones. Many young people are choosing to embrace this digital detox and unplug from the constant notifications and temptations of social media. There is also something very satisfying about being able to flip the phone shut dramatically like they do in the movies. According to ZDNet, searches for flip phones have increased by over 15,000% over the past year among Gen-Z and younger Millennials.";;
;;;"Influencers on TikTok have shared their experiences switching to these devices. TikTok influencer Sammy Palazzolo is a college student who shares how she exclusively takes a flip phone when she goes out at night with her friends. She says that it eliminates “drunk texts” and the urge to check social media, helping her to live more in the moment.

Digital and disposable film cameras have also made a comeback, coinciding with social media presence. With disposable film cameras, people get to take photos without immediately being able to look at them. This lets us live more authentically, as we are not as worried about how we look. There are even apps, such as Dispo, that allow you to get the effect of a disposable camera right on your phone. This app does not let you look at the photos for 24 hours and puts a filter on them to make it feel like it was taken on a disposable camera.";;
;;;On the flipside, digital cameras are having a revival as people like the high-quality photos they produce. This can help people grow their social media presence, as many people strive to be considered an “influencer.” Flash photography is also having a moment, and these digital cameras deliver on that end.;;
;;;"How Long Will This Y2K Cycle Last?
With social media, trends are coming and going at an incredibly rapid pace. The overexposure of them is causing us to move on quickly to something else. With the availability of almost anything at our fingertips, people are also embracing individuality by combining certain subcultures with their own identities and creating their own microtrends. People are remixing old trends with modern influences and creating personal styles that transcend any single era. And I think there is something beautiful in that — having access to so much of the past and being able to relive it in your own way.";;
The Orbit;28 Maret 2025;"Not Just One Vibe: Why Gen Z is More Than a One-Note ‘Aesthetic’
Understanding Gen Z’s Cultural and Digital Identity";"
We've all heard it: Gen Z is the social media generation, the trendsetters, the ones shaking up the status quo. But, who would have thought, they're not all cut from the same cloth. Beneath the hype, Gen Z, like any other generation, is an incredibly diverse group with tastes, values and personalities. Labels aren’t really doing them justice.

Visualize walking into a bustling café. At one table, a group debates the pros and cons of various mental health apps, sharing tips on mindfulness and self-care. In the corner, someone is live-streaming a gaming session, while others are deep into a discussion about intersectional feminism.";;https://www.itstheorbit.com/p/not-just-one-vibe-why-gen-z-is-more
;;;"Meanwhile, everyone wears everything, and multiple styles are often blended until the references become almost impossible to trace. From Y2K to e-girl, from the clean girl hype to dark academia and everything in between, Gen Z is a mosaic of interests, passions, and identities that defy a single ‘aesthetic.’

Born between 1997 and 2012, Gen Z has grown up in a world of rapid technological advancement, cultural shift, call for equality and global connectivity. A generation raised on the internet doesn’t follow a single set of rules. They curate their identities in real time, drawing inspiration from various subcultures, eras, and online communities. Gen Z isn’t just consuming trends—they’re the ones setting and remixing them. And just when you think you’ve caught their vibe, they’ve already moved on to something you haven’t even heard of yet.";;
;;;"Breaking the Myth of a Monolithic ‘Aesthetic’
It’s tempting to define generations by dominant trends and put them into tiny and neat organized boxes, especially for the creative industry. For Gen Z, the media often highlights styles like ‘e-girl’ or ‘cottagecore,’ suggesting a uniform way of self-expression.

However, the idea that Gen Z follows just one aesthetic at a time is not only wrong—it’s lazy. If anything, Gen Z is a patchwork of micro-trends, each with its own mood, vibe, and following.";;
;;;"1. Cottagecore: The Pastoral Dream
Cottagecore romanticizes rural life, emphasizing simplicity, nature, and a return to traditional crafts. Think soft linen dresses, homemade bread, and cozy countryside aesthetics. This trend is partly a reaction against the fast-paced digital world, offering a sweet escape.

?? Further Reading: iGen by Jean M. Twenge explores how Gen Z's digital habits shape their worldviews.";;
;;;"2. Goblincore: Finding Beauty in the Unconventional
Goblincore embraces the overlooked and imperfect aspects of nature: mushrooms, frogs, and the allure of the forest floor. It aligns with sustainable values, often promoting thrifted fashion and second-hand finds.

?? Podcast Recommendation: Marketing to Gen Z by Brand Innovators discusses how brands tap into these niche aesthetics.";;
;;;"3. E-Boys and E-Girls: The Digital Alternative Scene
Rooted in platforms like TikTok, E-Boys and E-Girls borrow elements from emo, punk, and anime culture. With bold makeup, layered outfits, and chain accessories, their aesthetic is a modern twist on alternative styles.

4. Dark Academia: The Romanticization of Knowledge
Dark Academia draws inspiration from classic literature, ancient art, and the pursuit of knowledge. It romanticizes learning and the arts, encouraging introspection and a deeper appreciation for intellectual pursuits.

5. Clean Girl Aesthetic: Minimalism and Wellness
A newer trend, the ""clean girl aesthetic"" revolves around minimalistic make-up (“no make-up make-up”), skincare routines, pastel nails (think of the “glazed donut” nail trend, firstly initiated by Hailey Bieber… don’t quote me on that though) and effortlessly sleek outfits. It represents an idealized version of self-care and productivity.";;
;;;"6. Clowncore: The Playful and Chaotic Subculture
Clowncore embraces exaggerated fashion, bright colors and theatrical accessories. This aesthetic represents a sense of rebellion against perfectionism, highlighting humor and bold self-expression.

Gorpcore: Fashion Meets Functionality
Named after “Good Ol’ Raisins and Peanuts” (a reference to trail mix), gorpcore is all about practical, outdoor-inspired looks. Think Arc’teryx fleeces, hiking boots, and oversized puffer jackets. It blends utility with streetwear, proving you don’t have to be climbing mountains to dress like you are.

4. Coquette: Hyper-Feminine Meets Edgy
Lace, bows, ballet flats, and pearls—paired with a knowing, almost ironic attitude. The coquette aesthetic pulls from vintage romance, mixing softness with subversiveness. Sabrina Carpenter or Olivia Rodrigo are current examples for that.";;
;;;"5. Cybercore: The Digital Future
Neon, techwear, digital landscapes, and metallic aesthetics. Cybercore takes inspiration from the internet itself, blending elements of futurism and virtual escapism.

But that’s barely the tip of the iceberg. The best part? These aesthetics aren’t set in stone. Gen Z is pulling from multiple trends, creating new ones and morphing them into their own unique style.";;
;;;"The “Other” Side
That said, this fluidity exists alongside a growing wave of conservative youth, particularly in the U.S. While many Gen Zers embrace progressive ideals, there is a significant counter-movement of young conservatives, fueled by online spaces like Twitter, YouTube, and TikTok. Young Trump supporters, rich white conservative men, and reactionary influencers are carving out their own version of Gen Z identity—one that stands in stark contrast to the more progressive, gender-inclusive, and socially aware segments of the generation. This trend is also swapping over to europe.

For every gender-fluid TikTok influencer, there’s a viral clip of a young conservative pushing back against LGBTQ+ rights, racial justice, or progressive policies. This cultural clash within Gen Z is becoming more apparent, highlighting that the generation isn’t just a monolith of inclusivity and leftist ideals—it’s also producing outspoken reactionaries who reject the very changes their peers already have accomplished.";;
;;;"The overturning of Roe v. Wade didn’t just roll back federal abortion rights—it handed the power to individual states, leading to bans and severe restrictions in much of the country. At the same time, the backlash against DEI (Diversity, Equity, and Inclusion) initiatives is gaining momentum, further fueling concerns about civil rights regression. It’s a stark reminder that progress is never guaranteed and that pushback is just as real as the progress itself.

The result? A generation that is both: incredibly accepting and deeply divided at the same time, showing that Gen Z isn’t heading in just one direction—it’s splintering into many.";;
The Science Survey;10 Juli 2024;"How TikTok is Bringing Back the Early 2000s
Social media plays a huge role in reviving the Y2K aesthetic. What is it, and why is it happening?";"You look through the crowd of students waiting to enter the school building each morning, or those rushing down the hallway to their next class after the bell rings, or simply a group of teens passing you by on the sidewalk. Everyone is seemingly dressed to the “lounge” aesthetic. You’ve seen it, haven’t you? The Crocs, plaid pajama pants, and oversized hoodies or t-shirts. 

Trends are constantly changing, especially in the digital age with social media influencers. What used to take years for a trend to fade out can now take a few months or sometimes weeks. It’s a constant cycle of specific styles, items, or brands being introduced to us. We’re pressured to buy the latest thing, only to discard it a few months down the road as new trends pop up. This constant state of consumerism is driven by trends’ being a source of social acceptance. You fit in when you have what everyone else has. Once those trends change, you follow because you want to belong. ";;https://thesciencesurvey.com/arts-entertainment/2024/07/10/how-tiktok-is-bringing-back-the-early-2000s/
;;;"Recently, one of these trends is the Y2K style, which consists of the late 1990s to mid 2000s. The shift from modern skinny jeans and high-rise pants to old low-rise jeans, baggy pants, claw clips, and streetwear shows how fashion styles often go back to a previous decade. As someone who was a teenager in the 1990s growing up in Manhattan, my mom often goes on long tangents about how she used to wear clothes that looked exactly like the ones I have. “Everything comes back. I should have kept all my old clothes for you,” she says.

Among all the social media platforms that promote these various trends, TikTok is one of the most influential. Initially launched in China as Douyin in September 2016 by ByteDance, the app swiftly gained attraction for its captivating 15-second video format enhanced with music and filters. Recognizing its potential, ByteDance introduced Douyin to the global market as TikTok in September 2017. To strengthen ByteDance’s presence in the U.S., the company acquired the popular lip-syncing app Musical.ly for around $1 billion in November 2017 and merged it with TikTok in August 2018, combining user bases and features. This strategic move led to explosive growth from 2018 to 2019, making it one of the most downloaded apps globally.";;
